Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1
adcc1e7c-4e66-45ef-84a3-7d8249eb23c0,,1,9d77abd7-3f10-11e4-adec-0800271c1b75,
f4c50c6a-f22e-4172-a557-9db34ff4fb0e,,6,334ce904-8a92-11e4-977f-0800271c1b75,
353473ea-0b40-41c3-afdb-cec58574e63e,,4,334dbd41-8a92-11e4-977f-0800271c1b75,
b027094a-0cac-4a8b-afdb-4e3f8c402ac8,,3,334ea16c-8a92-11e4-977f-0800271c1b75,
f763f60a-c192-4a20-9b69-1b3291a233da,,2,334f851c-8a92-11e4-977f-0800271c1b75,
202e79a3-a1a0-415b-8e2e-2ffd811679e2,,0.5,335071ea-8a92-11e4-977f-0800271c1b75,
1ee481a7-33ed-494b-a8b6-feb1f05ae060,,0.142857142,33516e22-8a92-11e4-977f-0800271c1b75,
cd3b5ee9-03d3-11e7-8ea7-f2049af9fda9,,1,2a148983-c143-4649-b4be-f8845c934ec0,
aff7c0c1-70b1-42bb-8722-702e287d7f1e,,0,9d8e6918-3f10-11e4-adec-0800271c1b75,
df981fbb-03d3-11e7-8ea7-f2049af9fda9,,0,f36097e7-7d66-4196-8d95-6b66f31435cc,